source,target,value
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7807-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5994-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5994-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4986-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4986-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7921-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7921-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7902-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7902-thumb.jpg,/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182117056-thumb.jpg,1
/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f182117056-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1817-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1817-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5420-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5420-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136719232-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136719232-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5981-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5981-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1802-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1802-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1822-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1822-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224117680-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224117680-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3383-raw__MG_3385.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3383-raw__MG_3385.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224075984-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224075984-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3826-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3826-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7945-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7945-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3829-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3829-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224145616-thumb.jpg,1
